,db,model,balance,tt_thresh,pn_thresh,split,auroc,aupr1,bg_aupr1
42,1_WH,rf_bl62,minsize,0.5,0.7,0,0.574561403508772,0.698571531859889,0.622950819672131
43,1_WH,rf_bl62,minsize,0.5,0.7,1,0.646770912789219,0.727361377621926,0.622950819672131
44,1_WH,rf_bl62,minsize,0.5,0.7,2,0.664569031273837,0.753830089989004,0.622950819672131
45,1_WH,rf_bl62,minsize,1.0,0.0,0,0.873633358759217,0.914638069293136,0.622950819672131
46,1_WH,rf_bl62,minsize,1.0,0.0,1,0.721650139842359,0.736203541551109,0.622950819672131
47,1_WH,rf_bl62,minsize,1.0,0.0,2,0.719679633867277,0.790608615980958,0.622950819672131
48,1_WH,rf_bl62,minsize,1.0,0.4,0,0.82278159166031,0.870125190853004,0.622950819672131
49,1_WH,rf_bl62,minsize,1.0,0.4,1,0.78813882532418,0.853737456482779,0.622950819672131
50,1_WH,rf_bl62,minsize,1.0,0.4,2,0.757627765064836,0.824892853979539,0.622950819672131
51,1_WH,rf_bl62,minsize,1.0,0.5,0,0.682049326214086,0.741131730781435,0.622950819672131
52,1_WH,rf_bl62,minsize,1.0,0.5,1,0.66183574879227,0.704347681960746,0.622950819672131
53,1_WH,rf_bl62,minsize,1.0,0.5,2,0.575959827103992,0.708464679549969,0.622950819672131
54,1_WH,rf_bl62,minsize,1.0,0.6,0,0.46325959827104,0.57875130215432,0.622950819672131
55,1_WH,rf_bl62,minsize,1.0,0.6,1,0.513412153572337,0.629053133914362,0.622950819672131
56,1_WH,rf_bl62,minsize,1.0,0.6,2,0.413869819476227,0.593577177800053,0.622950819672131
57,1_WH,rf_bl62,minsize,1.0,0.7,0,0.619501652682431,0.707751505428946,0.622950819672131
58,1_WH,rf_bl62,minsize,1.0,0.7,1,0.666857360793288,0.730818347088989,0.622950819672131
59,1_WH,rf_bl62,minsize,1.0,0.7,2,0.668700737350623,0.734016684073866,0.622950819672131
60,1_WH,rf_bl62,nobal,0.3,0.0,0,0.755821614928805,0.0886413550560403,0.0308562612496786
61,1_WH,rf_bl62,nobal,0.3,0.0,1,0.810174936973498,0.221473276756404,0.0493920972644377
62,1_WH,rf_bl62,nobal,0.3,0.0,2,0.887883483682919,0.158080897811045,0.0195876288659794
63,1_WH,rf_bl62,nobal,0.3,0.4,0,0.615300245098039,0.224530539264101,0.15
64,1_WH,rf_bl62,nobal,0.3,0.4,1,0.60453534904402,0.536796235021699,0.429042904290429
65,1_WH,rf_bl62,nobal,0.3,0.4,2,0.733356245090338,0.49507614935709,0.298429319371728
66,1_WH,rf_bl62,nobal,0.3,0.5,0,0.531712962962963,0.416092041527224,0.357142857142857
67,1_WH,rf_bl62,nobal,0.3,0.5,1,0.583905899925317,0.674348229886317,0.55793991416309
68,1_WH,rf_bl62,nobal,0.3,0.5,2,0.525475923852184,0.62803788112925,0.548076923076923
69,1_WH,rf_bl62,nobal,0.3,0.6,0,0.538465783664459,0.494405206614862,0.44280442804428
70,1_WH,rf_bl62,nobal,0.3,0.6,1,0.571808510638298,0.6896087650594,0.580357142857143
71,1_WH,rf_bl62,nobal,0.3,0.6,2,0.514857456140351,0.626681739726312,0.587628865979381
72,1_WH,rf_bl62,nobal,0.3,0.7,0,0.60452380952381,0.717593824405615,0.631578947368421
73,1_WH,rf_bl62,nobal,0.3,0.7,1,0.655502136752137,0.787168609476775,0.643564356435644
74,1_WH,rf_bl62,nobal,0.3,0.7,2,0.412852784134249,0.573548987805811,0.622950819672131
75,1_WH,rf_bl62,nobal,0.4,0.0,0,0.815233025851092,0.141541310538239,0.0259612685938816
76,1_WH,rf_bl62,nobal,0.4,0.0,1,0.821801629333807,0.0705556597645993,0.0111604970314376
77,1_WH,rf_bl62,nobal,0.4,0.0,2,0.852544614590389,0.159768957586709,0.0179416403785489
78,1_WH,rf_bl62,nobal,0.4,0.4,0,0.763061480313764,0.269606518742139,0.115049751243781
79,1_WH,rf_bl62,nobal,0.4,0.4,1,0.790070885741084,0.136656769950885,0.0380236542500276
80,1_WH,rf_bl62,nobal,0.4,0.4,2,0.861596217939007,0.234136336359645,0.0460293373798685
81,1_WH,rf_bl62,nobal,0.4,0.5,0,0.56801692069658,0.361150493017394,0.310663308144416
82,1_WH,rf_bl62,nobal,0.4,0.5,1,0.527690544898998,0.328323477468643,0.295025728987993
83,1_WH,rf_bl62,nobal,0.4,0.5,2,0.683668421610544,0.540888361132668,0.369168356997972
84,1_WH,rf_bl62,nobal,0.4,0.6,0,0.505882630882631,0.421116038610389,0.392781316348195
85,1_WH,rf_bl62,nobal,0.4,0.6,1,0.563756708407871,0.562394136116573,0.514200298953662
86,1_WH,rf_bl62,nobal,0.4,0.6,2,0.522626566981406,0.52128405064551,0.516312056737589
87,1_WH,rf_bl62,nobal,0.4,0.7,0,0.451825249907442,0.465393469065799,0.503401360544218
88,1_WH,rf_bl62,nobal,0.4,0.7,1,0.636072351421189,0.715827037569542,0.604569420035149
89,1_WH,rf_bl62,nobal,0.4,0.7,2,0.56054848235465,0.642277584269567,0.61590524534687
90,1_WH,rf_bl62,nobal,0.5,0.0,0,0.758694397441882,0.0787069314444259,0.0227272727272727
91,1_WH,rf_bl62,nobal,0.5,0.0,1,0.823897685974825,0.0782111772477645,0.011652678319345
92,1_WH,rf_bl62,nobal,0.5,0.0,2,0.820855838330738,0.0658263824525062,0.0118482175478887
93,1_WH,rf_bl62,nobal,0.5,0.4,0,0.742577249039609,0.127404560805287,0.053063136933349
94,1_WH,rf_bl62,nobal,0.5,0.4,1,0.824297755695299,0.098466043398868,0.0157913043478261
95,1_WH,rf_bl62,nobal,0.5,0.4,2,0.815442778755663,0.0817289406985467,0.0165084906003418
96,1_WH,rf_bl62,nobal,0.5,0.5,0,0.64867390003286,0.2531813097779,0.174499229583975
97,1_WH,rf_bl62,nobal,0.5,0.5,1,0.751674640491283,0.207364871276219,0.0862134447398405
